date	Qdaily
10/1/1999	3.029902561
10/2/1999	2.406931941
10/3/1999	2.152080324
10/4/1999	2.152080324
10/5/1999	3.19980364
10/6/1999	2.775050944
10/7/1999	2.350298249
10/8/1999	2.152080324
10/9/1999	1.925545553
10/10/1999	1.86891186
10/11/1999	2.605149866
10/12/1999	2.095446631
10/13/1999	2.010496092
10/14/1999	1.982179246
10/15/1999	1.86891186
10/16/1999	2.237030863
10/17/1999	2.18039717
10/18/1999	2.152080324
10/19/1999	1.982179246
10/20/1999	2.944952022
10/21/1999	4.020992184
10/22/1999	4.700596497
10/23/1999	4.44574488
10/24/1999	4.417428034
10/25/1999	3.992675338
10/26/1999	3.369704718
10/27/1999	3.001585715
10/28/1999	2.775050944
10/29/1999	2.57683302
10/30/1999	2.463565634
10/31/1999	2.350298249
11/1/1999	2.831684637
11/2/1999	2.49188248
11/3/1999	2.831684637
11/4/1999	2.973268869
11/5/1999	2.746734098
11/6/1999	2.49188248
11/7/1999	2.378615095
11/8/1999	2.293664556
11/9/1999	2.208714017
11/10/1999	2.18039717
11/11/1999	2.123763478
11/12/1999	2.067129785
11/13/1999	2.038812939
11/14/1999	1.982179246
11/15/1999	1.982179246
11/16/1999	1.925545553
11/17/1999	1.86891186
11/18/1999	1.812278168
11/19/1999	1.755644475
11/20/1999	1.727327628
11/21/1999	1.755644475
11/22/1999	1.755644475
11/23/1999	1.727327628
11/24/1999	1.727327628
11/25/1999	1.755644475
11/26/1999	1.812278168
11/27/1999	3.82277426
11/28/1999	5.323567117
11/29/1999	4.615645958
11/30/1999	3.51128895
12/1/1999	3.001585715
12/2/1999	2.746734098
12/3/1999	2.605149866
12/4/1999	2.520199327
12/5/1999	2.435248788
12/6/1999	2.548516173
12/7/1999	3.426338411
12/8/1999	3.313071025
12/9/1999	2.973268869
12/10/1999	2.88831833
12/11/1999	3.454655257
12/12/1999	3.51128895
12/13/1999	3.228120486
12/14/1999	4.898814422
12/15/1999	11.80812494
12/16/1999	11.49663963
12/17/1999	7.334063209
12/18/1999	5.606735581
12/19/1999	4.785547036
12/20/1999	4.389111187
12/21/1999	4.44574488
12/22/1999	4.474061726
12/23/1999	4.190893263
12/24/1999	3.907724799
12/25/1999	3.652873182
12/26/1999	3.426338411
12/27/1999	3.398021564
12/28/1999	3.284754179
12/29/1999	3.143169947
12/30/1999	3.001585715
12/31/1999	2.944952022
1/1/2000	2.80336779
1/2/2000	2.661783559
1/3/2000	2.633466712
1/4/2000	2.746734098
1/5/2000	4.728913344
1/6/2000	5.748319813
1/7/2000	4.700596497
1/8/2000	4.077625877
1/9/2000	3.737823721
1/10/2000	3.737823721
1/11/2000	4.049309031
1/12/2000	3.964358492
1/13/2000	3.596239489
1/14/2000	3.341387872
1/15/2000	2.973268869
1/16/2000	2.860001483
1/17/2000	2.831684637
1/18/2000	2.661783559
1/19/2000	2.775050944
1/20/2000	2.718417251
1/21/2000	2.661783559
1/22/2000	2.49188248
1/23/2000	2.690100405
1/24/2000	2.520199327
1/25/2000	2.435248788
1/26/2000	2.746734098
1/27/2000	2.633466712
1/28/2000	2.293664556
1/29/2000	2.265347709
1/30/2000	2.265347709
1/31/2000	3.454655257
2/1/2000	4.275843802
2/2/2000	4.417428034
2/3/2000	3.936041645
2/4/2000	3.82277426
2/5/2000	3.766140567
2/6/2000	3.652873182
2/7/2000	3.567922642
2/8/2000	3.794457413
2/9/2000	3.907724799
2/10/2000	4.247526955
2/11/2000	5.635052427
2/12/2000	7.56059798
2/13/2000	7.475647441
2/14/2000	6.824359975
2/15/2000	10.84535216
2/16/2000	11.24178801
2/17/2000	7.730499059
2/18/2000	6.880993668
2/19/2000	15.51763181
2/20/2000	22.20040755
2/21/2000	14.61149273
2/22/2000	9.627727765
2/23/2000	7.362380056
2/24/2000	6.597825204
2/25/2000	5.521785042
2/26/2000	5.69168612
2/27/2000	6.31465674
2/28/2000	6.00317143
2/29/2000	5.748319813
3/1/2000	5.238616578
3/2/2000	4.842180729
3/3/2000	4.44574488
3/4/2000	4.105942723
3/5/2000	3.907724799
