"FieldName3.0","Category","SubCategory","SchemaLocation","XMLTag","Definition","DataType","Optionality","DomainListYN","WqxV2.FieldName","WqxV2.ActivityMetricProfile","WqxV2.BiolHabitatMetricProfile","WqxV2.BiologicalProfile","WqxV2.NarrowProfile","WqxV2.OrganizationProfile","WqxV2.PhysChemProfile","WqxV2.ProjectProfile","WqxV2.PrjMonLocWeightingProfile","WqxV2.QuantitationLimitProfile","WqxV2.SamplingActivityProfile","WqxV2.SiteProfile"
"Org_Identifier","Organization","ORG Description","01.00.01","OrganizationIdentifier","A designator used to uniquely identify a unique business establishment within a context.","string min 1 string max 35","Mandatory","","OrganizationIdentifier","OrganizationIdentifier","OrganizationIdentifier","OrganizationIdentifier","OrganizationIdentifier","OrganizationIdentifier","OrganizationIdentifier","OrganizationIdentifier","OrganizationIdentifier","OrganizationIdentifier","OrganizationIdentifier","OrganizationIdentifier"
"Org_FormalName","Organization","ORG Description","01.00.02","OrganizationFormalName","The legal designator (i.e. formal name) of an organization.","string min 1 string max 255","Mandatory","","OrganizationFormalName","OrganizationFormalName",,"OrganizationFormalName","OrganizationFormalName","OrganizationFormalName","OrganizationFormalName","OrganizationFormalName","OrganizationFormalName","OrganizationFormalName","OrganizationFormalName","OrganizationFormalName"
"Org_Description","Organization","ORG Description","01.00.03","OrganizationDescriptionText","Information that further describes an organization.","string max 500","Optional","","OrganizationDescriptionText",,,,,"OrganizationDescriptionText",,,,,,
"Org_Type","Organization","ORG Description","01.00.05","OrganizationType","The name that describes the organization type.","","","","OrganizationType",,,,,"OrganizationType",,,,,,
"Org_EPAOfficialTribalName","","","01.00.03outbounda","EPAOfficialTribalName","The official EPA name designator (i.e. EPA's recognized Tribal name) of an American Indian tribe or Alaskan Native entity.","","","",,,,,,,,,,,,
"Org_TribalCode","Organization","ORG Description","01.00.04","TribalCode","The code that represents the American Indian tribe or Alaskan Native entity.","From domain values string max 3","Optional","Yes","TribalCode",,,,,"TribalCode",,,,,,
"OrgElectronic_Address","Organization","ORG Electronic Address","01.01.01","ElectronicAddressText","A resource address, usually consisting of the access protocol, the domain name, and optionally, the path to a file or location.","string max 120","Conditional (see business rule)","","ElectronicAddress",,,,,"ElectronicAddress",,,,,,
"OrgElectronic_AddressType","Organization","ORG Electronic Address","01.01.02","ElectronicAddressTypeName","The name that describes the electronic address type.","From domain values string max 8","Conditional (see business rule)","Yes
",,,,,,,,,,,,
"OrgTelephonic_TelephoneNumber","Organization","ORG Telephonic","01.02.01","TelephoneNumberText","The number that identifies a particular telephone connection.","String max 15","Conditional (see business rule)","","Telephonic",,,,,"Telephonic",,,,,,
"OrgTelephonic_TelephoneNumberType","Organization","ORG Telephonic","01.02.02","TelephoneNumberTypeName","The name that describes a telephone number type.","From domain values string max 6","Conditional (see business rule)","Yes
",,,,,,,,,,,,
